Colección,Instrucción,Esperado,Generado,Aciertos,Errores,Precisión_semántica
ventas,muestra los clientes frecuentes,"['cliente', 'frecuencia']","['frecuentes', 'clientes']",[],"['cliente', 'frecuencia']",
productos,lista los productos con descuento,"['producto', 'descuento']",['campo_no_encontrado'],[],"['producto', 'descuento']",
empleados,lista los empleados por departamento,"['empleado', 'departamento']",['campo_no_encontrado'],[],"['empleado', 'departamento']",
departamentos,calcula el total de ventas por producto,"['producto', 'total_ventas']",['campo_no_encontrado'],[],"['producto', 'total_ventas']",
clientes,cuál es la venta más reciente,"['venta', 'fecha']",['campo_no_encontrado'],[],"['venta', 'fecha']",
productos,cuál es el departamento con más ventas,"['departamento', 'ventas']",['campo_no_encontrado'],[],"['departamento', 'ventas']",
empleados,cuenta cuántos productos hay por proveedor,"['producto', 'proveedor']",['campo_no_encontrado'],[],"['producto', 'proveedor']",
ventas,lista los productos sin stock,"['producto', 'stock']",['campo_no_encontrado'],[],"['producto', 'stock']",
departamentos,lista los productos sin stock,"['producto', 'stock']",['campo_no_encontrado'],[],"['producto', 'stock']",
clientes,cuenta cuántos empleados hay por área,"['empleado', 'area']",['campo_no_encontrado'],[],"['empleado', 'area']",
clientes,cuál es la venta más reciente,"['venta', 'fecha']",['campo_no_encontrado'],[],"['venta', 'fecha']",
ventas,lista los productos con descuento,"['producto', 'descuento']",['campo_no_encontrado'],[],"['producto', 'descuento']",
departamentos,lista los empleados por departamento,"['empleado', 'departamento']",['campo_no_encontrado'],[],"['empleado', 'departamento']",
empleados,cuál es el cliente con más compras,"['cliente', 'compras']",['campo_no_encontrado'],[],"['cliente', 'compras']",
empleados,lista los productos con descuento,"['producto', 'descuento']",['campo_no_encontrado'],[],"['producto', 'descuento']",
clientes,lista los productos sin stock,"['producto', 'stock']",['campo_no_encontrado'],[],"['producto', 'stock']",
ventas,calcula el total de ventas por producto,"['producto', 'total_ventas']",['campo_no_encontrado'],[],"['producto', 'total_ventas']",
empleados,cuenta cuántos empleados hay en cada departamento,"['empleado', 'departamento']","['departamento', 'count', '_id']",['departamento'],['empleado'],0.5
productos,muestra los clientes que no han comprado,['cliente'],"['no', 'han', 'comprado', 'que', 'clientes']",[],['cliente'],
departamentos,lista los departamentos y su cantidad de empleados,"['departamento', 'empleados']",['campo_no_encontrado'],[],"['departamento', 'empleados']",
departamentos,cuenta cuántos clientes hay por ciudad,"['cliente', 'ciudad']",['campo_no_encontrado'],[],"['cliente', 'ciudad']",
departamentos,cuál es la venta más reciente,"['venta', 'fecha']",['campo_no_encontrado'],[],"['venta', 'fecha']",
departamentos,muestra los productos más vendidos,"['producto', 'ventas']","['más', 'productos', 'vendidos']",[],"['producto', 'ventas']",
clientes,muestra el precio promedio de los productos,"['producto', 'precio']",['campo_no_encontrado'],[],"['producto', 'precio']",
empleados,muestra los productos vendidos en el último mes,"['producto', 'fecha_venta']","['productos', 'vendidos', 'en', 'mes', 'último', 'el']",[],"['producto', 'fecha_venta']",
departamentos,cuenta cuántos empleados hay en cada departamento,"['empleado', 'departamento']","['departamento', 'count', '_id']",['departamento'],['empleado'],0.5
productos,cuál es el cliente con más compras,"['cliente', 'compras']",['campo_no_encontrado'],[],"['cliente', 'compras']",
productos,cuál es el producto más caro,"['producto', 'precio']",['campo_no_encontrado'],[],"['producto', 'precio']",
productos,une la colección ventas con clientes usando cliente_id y proyecta nombre_cliente y total_venta,"['nombre_cliente', 'total_venta']","['nombre_cliente', 'total_venta']","['nombre_cliente', 'total_venta']",[],1.0
clientes,muestra el precio promedio de los productos,"['producto', 'precio']",['campo_no_encontrado'],[],"['producto', 'precio']",
clientes,cuál es el producto más caro,"['producto', 'precio']",['campo_no_encontrado'],[],"['producto', 'precio']",
empleados,lista los departamentos y su cantidad de empleados,"['departamento', 'empleados']",['campo_no_encontrado'],[],"['departamento', 'empleados']",
departamentos,cuál es el departamento con más ventas,"['departamento', 'ventas']",['campo_no_encontrado'],[],"['departamento', 'ventas']",
departamentos,muestra los productos más vendidos,"['producto', 'ventas']","['más', 'productos', 'vendidos']",[],"['producto', 'ventas']",
clientes,muestra los clientes frecuentes,"['cliente', 'frecuencia']","['frecuentes', 'clientes']",[],"['cliente', 'frecuencia']",
departamentos,lista los empleados por departamento,"['empleado', 'departamento']",['campo_no_encontrado'],[],"['empleado', 'departamento']",
clientes,lista los productos con descuento,"['producto', 'descuento']",['campo_no_encontrado'],[],"['producto', 'descuento']",
clientes,muestra los 5 productos más vendidos,"['producto', 'ventas']","['producto', 'total_vendidos', '_id']",['producto'],['ventas'],0.5
ventas,cuenta cuántos empleados hay por área,"['empleado', 'area']",['campo_no_encontrado'],[],"['empleado', 'area']",
productos,lista los productos con descuento,"['producto', 'descuento']",['campo_no_encontrado'],[],"['producto', 'descuento']",
productos,muestra los 5 productos más vendidos,"['producto', 'ventas']","['producto', 'total_vendidos', '_id']",['producto'],['ventas'],0.5
