Colección,Instrucción,Esperado,Generado,Aciertos,Errores,Precisión_semántica
empleados,lista los productos con descuento,"['producto', 'descuento']","['oferta', 'empleado', 'item', 'rebaja', 'departamento', 'articulo', 'colaborador', 'count', 'personal', '_id', 'descuento', 'producto']","['producto', 'descuento']",[],1.0
ventas,cuál es el departamento con más ventas,"['departamento', 'ventas']","['sector', 'vendidos', 'total_vendidos', 'area', 'nombre_cliente', 'departamento', 'transaccion', 'ventas', 'total_venta', 'monto', 'total_ventas', 'importe', 'venta']","['departamento', 'ventas']",[],1.0
productos,cuenta cuántos productos hay por proveedor,"['producto', 'proveedor']","['total_vendidos', 'item', 'articulo', 'proveedor', 'distribuidor', 'ventas', '_id', 'producto', 'suministrador']","['producto', 'proveedor']",[],1.0
ventas,muestra los clientes frecuentes,"['cliente', 'frecuencia']","['usuario', 'nombre_cliente', 'comprador', 'total_venta', 'cliente', 'monto', 'importe', 'transaccion']",['cliente'],['frecuencia'],0.5
departamentos,muestra los productos vendidos en el último mes,"['producto', 'fecha_venta']","['sector', 'vendidos', 'total_vendidos', 'area', 'item', 'departamento', 'ventas', 'articulo', 'mes', 'empleados', 'fecha', 'total_ventas', 'producto', 'año', 'dia']","['producto', 'fecha_venta']",[],1.0
empleados,lista los productos sin stock,"['producto', 'stock']","['stock', 'existencia', 'empleado', 'item', 'inventario', 'departamento', 'articulo', 'colaborador', 'count', 'personal', '_id', 'producto']","['producto', 'stock']",[],1.0
productos,une la colección ventas con clientes usando cliente_id y proyecta nombre_cliente y total_venta,"['nombre_cliente', 'total_venta']","['vendidos', 'total_vendidos', 'usuario', 'nombre_cliente', 'comprador', 'item', 'total_venta', 'cliente', 'ventas', 'transaccion', 'articulo', 'monto', 'total_ventas', 'importe', '_id', 'producto', 'cliente_nombre', 'venta']","['nombre_cliente', 'total_venta']",[],1.0
departamentos,cuenta cuántos empleados hay en cada departamento,"['empleado', 'departamento']","['sector', 'area', 'empleado', 'departamento', 'colaborador', 'count', 'empleados', 'personal']","['empleado', 'departamento']",[],1.0
productos,lista los departamentos y su cantidad de empleados,"['departamento', 'empleados']","['sector', 'area', 'empleado', 'total_vendidos', 'item', 'departamento', 'ventas', 'articulo', 'colaborador', 'count', 'empleados', 'personal', '_id', 'producto']","['departamento', 'empleados']",[],1.0
clientes,lista los empleados por departamento,"['empleado', 'departamento']","['sector', 'area', 'empleado', 'usuario', 'comprador', 'departamento', 'cliente', 'compras', 'colaborador', 'count', 'empleados', 'personal']","['empleado', 'departamento']",[],1.0
productos,cuál es el departamento con más ventas,"['departamento', 'ventas']","['sector', 'vendidos', 'total_vendidos', 'area', 'item', 'departamento', 'transaccion', 'ventas', 'articulo', 'total_ventas', '_id', 'producto', 'venta']","['departamento', 'ventas']",[],1.0
clientes,lista los empleados por departamento,"['empleado', 'departamento']","['sector', 'area', 'empleado', 'usuario', 'comprador', 'departamento', 'cliente', 'compras', 'colaborador', 'count', 'empleados', 'personal']","['empleado', 'departamento']",[],1.0
productos,lista los empleados por departamento,"['empleado', 'departamento']","['sector', 'area', 'empleado', 'total_vendidos', 'item', 'departamento', 'ventas', 'articulo', 'colaborador', 'count', 'empleados', 'personal', '_id', 'producto']","['empleado', 'departamento']",[],1.0
ventas,muestra los clientes frecuentes,"['cliente', 'frecuencia']","['usuario', 'nombre_cliente', 'comprador', 'total_venta', 'cliente', 'monto', 'importe', 'transaccion']",['cliente'],['frecuencia'],0.5
departamentos,cuál es el departamento con más ventas,"['departamento', 'ventas']","['sector', 'vendidos', 'total_vendidos', 'area', 'departamento', 'transaccion', 'ventas', 'empleados', 'total_ventas', 'venta']","['departamento', 'ventas']",[],1.0
ventas,cuenta cuántos empleados hay por área,"['empleado', 'area']","['empleado', 'nombre_cliente', 'total_venta', 'colaborador', 'count', 'empleados', 'importe', 'monto', 'personal', 'transaccion']",['empleado'],['area'],0.5
clientes,une la colección ventas con clientes usando cliente_id y proyecta nombre_cliente y total_venta,"['nombre_cliente', 'total_venta']","['vendidos', 'total_vendidos', 'usuario', 'nombre_cliente', 'comprador', 'total_venta', 'cliente', 'ventas', 'transaccion', 'compras', 'monto', 'total_ventas', 'importe', '_id', 'cliente_nombre', 'venta']","['nombre_cliente', 'total_venta']",[],1.0
productos,cuál es el producto más caro,"['producto', 'precio']","['total_vendidos', 'item', 'articulo', 'ventas', '_id', 'producto']",['producto'],['precio'],0.5
empleados,cuál es el cliente con más compras,"['cliente', 'compras']","['empleado', 'usuario', 'comprador', 'adquisiciones', 'departamento', 'cliente', 'compras', 'colaborador', 'count', 'personal', '_id']","['cliente', 'compras']",[],1.0
ventas,muestra los 5 productos más vendidos,"['producto', 'ventas']","['vendidos', 'total_vendidos', 'nombre_cliente', 'item', 'total_venta', 'ventas', 'articulo', 'monto', 'total_ventas', 'importe', 'producto', 'transaccion']","['producto', 'ventas']",[],1.0
empleados,lista los productos sin stock,"['producto', 'stock']","['stock', 'existencia', 'empleado', 'item', 'inventario', 'departamento', 'articulo', 'colaborador', 'count', 'personal', '_id', 'producto']","['producto', 'stock']",[],1.0
clientes,cuenta cuántos productos hay por proveedor,"['producto', 'proveedor']","['usuario', 'comprador', 'item', 'cliente', 'articulo', 'proveedor', 'distribuidor', 'compras', 'producto', 'suministrador']","['producto', 'proveedor']",[],1.0
empleados,cuál es el producto más caro,"['producto', 'precio']","['empleado', 'item', 'departamento', 'articulo', 'colaborador', 'count', 'personal', '_id', 'producto']",['producto'],['precio'],0.5
